n,clFFT,DirectX,OpenGL,OpenCL
4,71,4.7,7.5,11.7
8,76,5,8.8,11.8
16,78,9,8.1,12.4
32,75,9.3,8.4,13.3
64,73,9.9,8.8,13.7
128,76,12.7,9.1,14.5
256,75,13.7,10.3,15.7
512,78,15.5,12.1,17
1024,82,21.4,17.9,23.1
2048,88,25.4,23.5,26.9
4096,113,30.3,33.9,32
8192,107,39.7,45.4,39.5
16384,108,65.9,62.6,50.6
32768,113,54.6,95.7,67.4
65536,151,158.2,195.1,160.1
131072,266,416,452.5,447.5
262144,423,952.7,997.9,982
524288,844,2483.7,2655.4,2544.2
1048576,1435,6881.1,7310.9,7146.5
2097152,2797,13659.1,14487.5,14305
4194304,5205,31800.4,33689.6,35306.6
8388608,10797,111703.5,112034.3,124732.8
16777216,22400,860867.8,,358521.9
33554432,51566,,,872238.6
67108864,3700671,,,1901809.7