n,CUDA,DirectCompute,OpenGL Compute Shader,OpenCL,cuFFT,FFTW,OpenMP,C/C++
4,4.1,5.4,5.4,12.2,4.5,0,2,0
8,4.4,5.6,5.6,12.2,4.9,0,9,0
16,4.6,5.9,5.9,12,5.4,0,3,0
32,4.9,6.1,6.3,12.9,6.2,0,4,0
64,5.3,6.5,7.1,15.6,4.6,0,5,0
128,5.8,7.1,7.8,17.6,5.3,0,6,1
256,6.4,7.8,9.1,17.2,6.3,0,13,3
512,7.8,9.3,11.6,22,5.7,0,20,6
1024,8.6,10.5,12.7,23.3,7.3,2,26,15
2048,11.1,13.5,16.2,26.1,7.1,5,41,32
4096,14.3,17.1,21.2,30.8,8.8,7,37,69
8192,17.7,20.2,26.3,41.1,13.2,20,80,152
16384,30.7,32.9,43.7,54.7,15.3,52,149,315
32768,46.4,51.6,70.5,83.7,21.4,120,273,651
65536,82.7,92.1,134,142.4,35.2,262,589,1405
131072,177,184.4,293,309,58.8,573,1127,3082
262144,414.8,424.6,732.5,681.3,105,1201,2433,6517
524288,909.2,932.5,1539.3,1454.8,242.2,7453,5016,13909
1048576,2046.7,2072.2,3447.1,3194.1,377.1,16150,14777,33403
2097152,4532.1,4584.7,7576.3,7063.1,752.7,34176,63569,90479
4194304,11155.6,10812.7,16921.7,16584.6,1475.2,70544,141152,206556
8388608,24797.5,24607.6,38476.4,38383.4,3038.3,151657,318372,439496
16777216,52269.2,53040.6,82927,82571.5,6523.1,325576,682050,920150
33554432,108009.9,112202.4,175610.6,171794.8,15284.2,657156,1437337,1936139
67108864,225134.2,237924.4,362815,357497.8,33731,1399217,3026029,4012005